te_ev,pressure_torr,radius_m,lambda_m,n_ar0,k_iz,nu_ion,nu_wall,dnu,rel_dnu,p_lambda_torr_cm,ne_sub_lo,ne_sub_hi,alpha_sub_hi,n_ar_star,f_star,ne_star,alpha_star,C_wall,C_Te,C_Ar,dlnk_dlnTe,ne_ref,nu_RR,nu_3b,class
0.5,50.0,0.01,0.004154068068337296,1.619401315476905e+24,5.794971682292229e-28,0.000938438476545545,73.7920198922259,-73.79108145374934,0.9999872826563371,20.77034034168648,1633.6120327181472,8168.060163590738,5.0438764533084795e-21,4.541050002079759e+26,-279.4153583599161,nan,nan,nan,nan,nan,nan,8168.060163590738,3.708985956015665e-15,1.5096380600188137e-29,extinction
0.5,50.0,0.02,0.008284653061723664,1.619401315476905e+24,5.794971682292229e-28,0.000938438476545545,18.55273594039113,-18.551797501914585,0.9999494177850878,41.42326530861832,6497.8069406853565,32489.034703426783,2.0062373911224676e-20,2.2769608660519846e+26,-139.6051016687875,nan,nan,nan,nan,nan,nan,32489.034703426783,1.475275292126916e-14,2.3884084362800084e-28,extinction
0.5,50.0,0.05,0.020314161161742474,1.619401315476905e+24,5.794971682292229e-28,0.000938438476545545,3.085736433877396,-3.0847979954008506,0.9996958786025136,101.57080580871236,39077.43675594085,195387.18377970427,1.2065396138211965e-19,9.28604959868521e+25,-56.342485213126544,nan,nan,nan,nan,nan,nan,195387.18377970427,8.872220651051091e-14,8.63827701299725e-27,extinction
0.5,50.0,0.1,0.038122848105260086,1.619401315476905e+24,5.794971682292229e-28,0.000938438476545545,0.8761650758040057,-0.8752266373274602,0.9989289250365471,190.61424052630042,137731.1811923617,688655.9059618085,4.252533941896935e-19,4.9481693388379765e+25,-29.555547235558265,nan,nan,nan,nan,nan,nan,688655.9059618085,3.127076726399553e-13,1.073098365189547e-25,extinction
0.5,50.0,0.2,0.06271313410453205,1.619401315476905e+24,5.794971682292229e-28,0.000938438476545545,0.32377223628565804,-0.3228337978091125,0.9971015474108855,313.56567052266024,373399.56159549055,1866997.807977453,1.1528938442461572e-18,3.0079553636914023e+25,-17.57449005965254,nan,nan,nan,nan,nan,nan,1866997.807977453,8.47773952567983e-13,7.887195332266016e-25,extinction
0.7,0.5,0.005,0.002078509543367318,1.619401315476905e+22,5.373863966283572e-24,0.08702442376193556,41264.88179793909,-41264.79477351533,0.9999978910778374,0.10392547716836589,0.029212794885265965,0.14606397442632985,9.019627996492938e-24,1.115126694494013e+25,-687.604290879938,nan,nan,nan,nan,nan,nan,0.14606397442632985,5.1532753443457564e-20,1.0620502055470322e-39,extinction
0.7,0.5,0.01,0.004154068068337296,1.619401315476905e+22,5.373863966283572e-24,0.08702442376193556,10330.882784911624,-10330.795760487863,0.9999915762838885,0.2077034034168648,0.11668607275267356,0.5834303637633679,3.6027534261422456e-23,5.579594360130885e+24,-343.54673506843017,nan,nan,nan,nan,nan,nan,0.5834303637633679,2.058397575810772e-19,1.6944816694876016e-38,extinction
0.7,0.5,0.02,0.008284653061723664,1.619401315476905e+22,5.373863966283572e-24,0.08702442376193556,2597.3830316547583,-2597.296007230996,0.9999664953444672,0.4142326530861832,0.4641211407345332,2.3206057036726664,1.4330022345259492e-22,2.797704936224846e+24,-171.76168109082565,nan,nan,nan,nan,nan,nan,2.3206057036726664,8.187316690274025e-19,2.6807821964206575e-37,extinction
0.7,0.5,0.05,0.020314161161742474,1.619401315476905e+22,5.373863966283572e-24,0.08702442376193556,432.00310074283544,-431.9160763190735,0.9997985560205186,1.0157080580871236,2.7909588269429855,13.954794134714929,8.617255032058138e-22,1.140978186652648e+24,-69.45679015745618,nan,nan,nan,nan,nan,nan,13.954794134714929,4.92338352645045e-18,9.694059656194104e-36,extinction
0.7,0.5,0.1,0.038122848105260086,1.619401315476905e+22,5.373863966283572e-24,0.08702442376193556,122.6631106125608,-122.57608618879887,0.9992905411959035,1.9061424052630043,9.834381429380754,49.17190714690378,3.0364250465254757e-21,6.079822447079062e+23,-36.54364275842636,nan,nan,nan,nan,nan,nan,49.17190714690378,1.734831451285775e-17,1.2036297833488537e-34,extinction
